Name,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Outstanding Balance,Id,Tags,Source,Lineitem discount
#1662,paid,2026-03-15 01:56:05 -0400,USD,77.59,0.00,0.00,77.59,13.69,Economy,2026-03-15 01:56:02 -0400,1,21.66,33.32,AP_MW04,TRUE,TRUE,Parkersburg,'26105,WV,US,,Shopify Payments,0.00,0.00,7206063505718,,web,0.00
#1662,,,,,,,,,,2026-03-15 01:56:02 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1662,,,,,,,,,,2026-03-15 01:56:02 -0400,1,11.99,19.99,AP_FP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1662,,,,,,,,,,2026-03-15 01:56:02 -0400,1,11.99,19.99,AP_BP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1662,,,,,,,,,,2026-03-15 01:56:02 -0400,1,11.99,19.99,AP_AF02,TRUE,TRUE,,,,,,,,,,,,0.00
#1662,,,,,,,,,,2026-03-15 01:56:02 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1661,paid,2026-03-14 23:19:01 -0400,USD,64.98,7.50,0.00,72.48,0.00,Economy,2026-03-14 23:19:00 -0400,1,21.66,33.32,AP_AF04,TRUE,TRUE,Lawrenceville,'30046,GA,US,,Shopify Payments,0.00,0.00,7205891506486,Pre-Order,web,0.00
#1661,,,,,,,,,,2026-03-14 23:19:00 -0400,1,21.66,33.32,AP_EP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1661,,,,,,,,,,2026-03-14 23:19:00 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1660,paid,2026-03-14 07:21:05 -0400,USD,35.97,7.50,0.00,43.47,0.00,Economy,2026-03-14 07:21:04 -0400,1,11.99,19.99,AP_MW02,TRUE,TRUE,Fort Myers,'33913,FL,US,,Shopify Payments,0.00,0.00,7204345217334,,web,0.00
#1660,,,,,,,,,,2026-03-14 07:21:04 -0400,1,11.99,19.99,AP_EP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1660,,,,,,,,,,2026-03-14 07:21:04 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1659,paid,2026-03-13 21:00:37 -0400,USD,44.02,7.50,0.00,51.52,7.76,Economy,2026-03-13 21:00:34 -0400,2,25.89,25.89,AB_Set5,TRUE,TRUE,Coconut Creek,'33066,FL,US,,Shopify Payments,0.00,0.00,7203611640118,pre-order,web,0.00
#1658,paid,2026-03-13 10:57:36 -0400,USD,83.12,0.00,0.00,83.12,0.00,Economy,2026-03-13 10:57:36 -0400,4,10.39,15.99,GP_W15,TRUE,TRUE,Ellicott City,'21043,MD,US,,Shopify Payments,0.00,0.00,7202466267446,,web,0.00
#1658,,,,,,,,,,2026-03-13 10:57:36 -0400,4,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1657,paid,2026-03-13 08:54:34 -0400,USD,23.98,7.50,0.00,31.48,0.00,Economy,2026-03-13 08:54:32 -0400,2,11.99,19.99,AP_BP02,TRUE,TRUE,POINT PLEASANT BORO,'08742,NJ,US,,Shopify Payments,0.00,0.00,7202256453942,,web,0.00
#1656,paid,2026-03-13 08:47:14 -0400,USD,108.30,0.00,0.00,108.30,0.00,Economy,2026-03-13 08:47:12 -0400,1,21.66,33.32,AP_BP04,TRUE,TRUE,Mount Airy,'27030,NC,US,,Shopify Payments,0.00,0.00,7202246230326,,web,0.00
#1656,,,,,,,,,,2026-03-13 08:47:12 -0400,1,21.66,33.32,AP_FP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1656,,,,,,,,,,2026-03-13 08:47:12 -0400,1,21.66,33.32,AP_EP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1656,,,,,,,,,,2026-03-13 08:47:12 -0400,2,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1655,paid,2026-03-13 00:35:13 -0400,USD,47.02,7.50,0.00,54.52,8.29,Economy,2026-03-13 00:35:13 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,Redwood City,'94061,CA,US,,Shopify Payments,0.00,0.00,7201708376374,,web,0.00
#1655,,,,,,,,,,2026-03-13 00:35:13 -0400,1,21.66,33.32,AP_BN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1655,,,,,,,,,,2026-03-13 00:35:13 -0400,1,21.66,33.32,AP_MW04,TRUE,TRUE,,,,,,,,,,,,0.00
#1654,paid,2026-03-13 00:05:51 -0400,USD,43.32,7.50,0.00,50.82,0.00,Economy,2026-03-13 00:05:51 -0400,1,21.66,33.32,AP_EP04,TRUE,TRUE,Lawrence,'66049,KS,US,,Shopify Payments,0.00,0.00,7201669447990,Pre-Order,web,0.00
#1654,,,,,,,,,,2026-03-13 00:05:51 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1653,paid,2026-03-13 00:03:51 -0400,USD,11.99,7.50,0.00,19.49,0.00,Economy,2026-03-13 00:03:48 -0400,1,11.99,19.99,AP_BP02,TRUE,TRUE,Chicago,'60659,IL,US,,Shopify Payments,0.00,0.00,7201667154230,,web,0.00
#1652,paid,2026-03-12 23:13:39 -0400,USD,86.64,0.00,0.00,86.64,0.00,Economy,2026-03-12 23:13:36 -0400,1,21.66,33.32,AP_EP04,TRUE,TRUE,Corsicana,'75110,TX,US,,Shopify Payments,0.00,0.00,7201602634038,,web,0.00
#1652,,,,,,,,,,2026-03-12 23:13:36 -0400,1,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1652,,,,,,,,,,2026-03-12 23:13:36 -0400,1,21.66,33.32,AP_BP04,TRUE,TRUE,,,,,,,,,,,,0.00
#1652,,,,,,,,,,2026-03-12 23:13:36 -0400,1,21.66,33.32,AP_FP04,TRUE,TRUE,,,,,,,,,,,,0.00
